Order_ID,Order_Date,Customer_ID,Customer_Type,Region,Category,Product,Quantity,Unit_Price,Discount,Sales,Profit,Payment_Method,Order_Status
NX1001,2025-01-03,C101,New,North,Electronics,Wireless Earbuds,2,2499,0.05,4748.10,759.70,UPI,Delivered
NX1002,2025-01-05,C102,Returning,West,Home,Ceramic Coffee Mug Set,3,799,0.00,2397.00,647.19,Card,Delivered
NX1003,2025-01-08,C103,New,South,Fashion,Cotton Oversized T-Shirt,2,899,0.10,1618.20,485.46,UPI,Delivered
NX1004,2025-01-12,C104,Returning,East,Beauty,Skin Care Gift Box,1,1899,0.05,1804.05,577.30,Wallet,Delivered
NX1005,2025-01-16,C105,New,North,Sports,Yoga Mat Pro,1,1499,0.00,1499.00,524.65,COD,Delivered
NX1006,2025-01-19,C106,Returning,West,Electronics,Smart Watch Lite,1,3499,0.10,3149.10,566.84,Card,Delivered
NX1007,2025-01-22,C107,New,South,Home,LED Desk Lamp,2,1299,0.05,2468.10,740.43,UPI,Delivered
NX1008,2025-01-26,C108,Returning,North,Fashion,Everyday Sneakers,1,2299,0.15,1954.15,488.54,Card,Returned
NX1009,2025-01-29,C109,New,East,Beauty,Vitamin C Serum,2,699,0.00,1398.00,559.20,UPI,Delivered
NX1010,2025-02-02,C110,Returning,West,Electronics,Portable Bluetooth Speaker,1,2199,0.05,2089.05,605.82,Wallet,Delivered
NX1011,2025-02-04,C111,New,North,Home,Storage Organizer Set,4,599,0.00,2396.00,718.80,UPI,Delivered
NX1012,2025-02-07,C112,Returning,South,Sports,Resistance Band Kit,2,899,0.10,1618.20,566.37,Card,Delivered
NX1013,2025-02-11,C113,New,East,Fashion,Denim Jacket,1,2499,0.10,2249.10,517.29,COD,Delivered
NX1014,2025-02-14,C114,Returning,West,Beauty,Hair Care Kit,2,1199,0.05,2278.10,774.55,UPI,Delivered
NX1015,2025-02-18,C115,New,North,Electronics,Mechanical Keyboard,1,2999,0.15,2549.15,637.29,Card,Cancelled
